Age,Department,Study_Hours_Per_Week,Attendance (%),Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Total_Score,Grade
22,Business,7.8,81.32,55.13,45.9,68.8,57.51,83.4,64.02,62.38,F
21,Business,6.9,81.69,60.15,66.91,82.4,62.75,68.3,59.97,70.15,C
22,Engineering,4.5,79.71,95.09,62.64,86.74,74.53,64.5,52.12,75.91,B
22,Business,4.5,80.2,90.17,57.87,48.23,72.67,41.5,83.21,68.25,D
18,CS,5.6,100.0,58.9,79.57,66.94,55.34,53.0,74.6,69.55,C
19,Engineering,7.8,77.35,46.08,66.36,98.22,62.88,76.1,65.85,71.38,C
23,Mathematics,2.9,74.69,54.41,25.66,72.08,40.22,98.2,60.59,52.75,F
24,CS,7.0,77.45,69.75,62.0,84.29,84.12,82.8,77.31,77.32,A
23,Business,4.4,85.11,54.84,50.29,55.52,63.88,57.3,88.57,60.75,F
20,Business,2.5,93.05,55.82,50.98,85.54,88.41,83.1,64.84,68.59,C
24,Business,2.7,93.36,72.07,77.21,90.34,48.26,100.0,82.35,77.95,A
20,CS,8.5,85.75,49.07,66.12,83.68,80.38,100.0,68.63,75.37,B
18,CS,6.6,81.44,65.38,48.04,78.92,82.82,78.5,95.95,72.49,C
22,Mathematics,4.1,66.01,68.14,61.83,84.04,73.0,61.0,60.96,69.98,C
20,Engineering,6.3,66.46,94.95,59.67,84.97,53.49,88.8,86.89,78.38,A
18,Engineering,3.0,88.16,66.85,50.67,51.27,82.66,74.9,66.33,64.28,D
23,Business,3.1,100.0,58.92,54.61,79.93,76.65,82.0,87.63,70.17,C
23,Business,4.8,85.44,57.55,67.93,86.22,76.27,80.6,65.2,73.24,B
18,Engineering,5.5,72.64,76.15,84.9,68.56,63.3,52.3,74.98,75.96,B
20,Business,5.7,62.09,90.19,69.94,68.94,46.33,88.0,55.06,73.47,B
21,CS,4.7,76.77,54.68,43.54,100.0,54.6,82.0,80.15,65.75,D
18,Engineering,5.3,87.94,75.2,49.18,72.28,61.07,57.5,75.11,65.71,D
18,CS,3.5,92.38,29.66,55.55,89.68,81.95,27.1,73.28,60.13,F
21,Engineering,3.6,73.12,62.96,58.92,64.14,75.15,55.9,60.14,64.57,D
19,Mathematics,2.0,72.98,67.04,69.43,65.66,45.48,73.7,72.95,66.57,D
22,CS,3.6,72.27,48.3,80.61,89.39,72.6,75.5,97.11,77.2,A
18,CS,1.8,91.38,68.2,73.5,74.64,100.0,32.6,68.97,72.94,B
20,Engineering,4.6,57.53,41.29,41.88,76.0,99.41,76.4,64.76,63.55,D
24,Business,3.7,82.25,54.49,61.79,66.14,53.5,77.5,65.57,63.54,D
22,Business,2.2,93.82,52.43,63.23,59.72,80.45,49.3,91.8,65.69,D
20,CS,1.6,82.78,99.36,64.71,70.96,87.99,98.4,74.68,81.24,A
22,Engineering,4.8,83.57,59.19,70.1,61.06,75.56,72.2,70.87,70.07,C
19,CS,4.2,72.11,56.24,72.6,79.73,66.42,88.7,92.13,75.13,B
18,CS,6.1,82.19,56.04,67.4,59.83,85.94,73.3,69.8,70.65,C
23,CS,5.2,68.3,69.65,73.81,73.44,100.0,57.8,48.77,75.35,B
18,CS,3.1,74.03,58.59,65.84,46.6,69.4,40.2,71.64,61.6,F
23,Business,7.3,93.06,59.13,58.42,79.02,66.82,83.4,78.96,71.11,C
23,Mathematics,3.8,68.89,62.27,59.84,84.11,66.22,79.0,87.68,71.52,C
21,Engineering,3.5,88.37,51.86,68.63,83.41,60.87,93.2,44.61,68.13,D
19,Mathematics,2.2,62.0,53.29,20.37,76.78,71.0,100.0,80.92,58.13,F
24,CS,2.6,100.0,46.57,72.14,47.68,69.99,35.6,97.6,63.23,F
21,Mathematics,2.7,73.03,65.66,18.98,96.86,66.77,71.8,63.73,58.27,F
22,Mathematics,7.6,75.9,40.99,45.54,71.33,76.13,49.0,99.8,62.66,F
22,Mathematics,1.9,83.58,52.11,28.91,96.33,69.55,48.3,40.61,53.82,F
24,Business,1.1,64.24,57.86,57.23,97.76,73.76,71.8,73.86,69.58,C
24,CS,5.3,100.0,62.73,44.92,48.41,48.85,73.3,84.08,59.0,F
22,Business,3.7,91.36,73.84,73.34,68.99,72.96,79.8,49.36,72.83,B
24,Mathematics,5.7,72.18,78.75,62.16,71.73,67.25,76.9,71.14,72.9,B
19,Business,6.1,81.32,65.69,46.23,92.2,76.27,97.4,88.85,73.95,B
18,Business,6.0,96.33,84.22,100.0,72.16,72.14,77.2,67.41,85.95,A
20,CS,6.3,74.3,92.99,79.5,85.07,80.09,61.5,39.36,80.46,A
20,CS,4.5,84.3,65.54,23.76,83.43,68.79,55.0,68.45,57.66,F
20,Engineering,4.0,97.36,66.68,61.75,85.03,70.07,78.4,77.78,72.74,C
18,CS,5.9,72.39,52.38,83.57,85.37,58.67,60.4,88.44,74.99,B
18,Engineering,4.3,73.2,48.32,91.89,73.1,61.9,90.3,66.02,75.26,B
19,Engineering,4.7,68.4,66.23,76.35,89.24,71.91,51.3,74.83,75.29,B
23,Engineering,5.1,75.45,43.64,47.16,56.78,58.0,81.7,97.83,60.6,F
24,Engineering,2.9,60.93,70.62,66.92,59.37,55.8,77.6,79.59,68.64,C
20,Business,4.6,62.39,76.43,68.7,84.67,54.28,66.3,68.42,72.51,C
19,CS,5.1,80.3,81.24,58.65,64.52,95.6,68.4,74.91,74.74,B
19,CS,6.5,79.8,69.85,57.71,67.53,82.49,85.1,79.18,73.46,B
18,Mathematics,4.1,88.45,84.56,39.08,88.94,60.82,44.4,82.38,65.83,D
20,Engineering,6.8,84.95,62.31,39.49,73.13,78.83,72.4,72.13,64.96,D
20,Business,2.0,79.65,77.86,88.01,81.59,57.75,70.6,68.14,77.75,A
24,Business,4.4,78.08,84.02,56.69,89.59,60.55,39.6,63.02,68.79,C
18,CS,8.4,97.72,60.29,51.77,59.93,50.49,74.7,93.35,65.16,D
19,Business,2.3,76.46,89.65,37.04,74.55,60.32,72.7,68.27,64.52,D
24,Business,4.1,100.0,85.45,83.63,83.15,46.84,58.7,80.18,77.62,A
21,CS,6.4,84.23,57.74,49.53,58.22,82.99,51.0,45.5,60.44,F
18,Engineering,2.9,59.47,57.99,52.34,77.41,86.44,65.2,65.35,66.38,D
19,Mathematics,6.4,77.3,100.0,51.93,63.77,71.57,95.5,61.06,74.74,B
22,Business,0.0,89.37,87.87,90.35,98.57,69.68,100.0,72.96,87.21,A
24,Mathematics,4.3,73.1,65.3,93.99,68.73,38.85,66.7,61.52,72.37,C
23,Business,3.5,69.21,71.02,69.96,80.85,51.28,75.9,46.72,69.02,C
21,CS,3.8,87.45,43.71,50.22,87.77,100.0,72.0,39.57,65.03,D
20,CS,3.2,82.08,88.3,71.95,76.41,80.83,67.2,80.49,79.2,A
23,CS,1.4,94.08,72.43,78.54,76.59,63.53,56.7,74.69,72.9,B
24,Business,5.1,78.84,72.24,100.0,78.08,87.29,44.3,54.56,81.69,A
18,Engineering,5.3,96.28,73.12,92.96,49.54,56.13,45.1,77.08,73.23,B
22,Mathematics,3.3,83.85,57.59,65.69,63.0,74.39,83.0,38.69,65.65,D
20,Engineering,4.3,96.17,70.95,59.62,98.26,70.45,65.4,64.67,72.54,C
20,Engineering,3.7,65.73,66.28,63.66,93.08,57.26,48.5,57.26,67.33,D
18,Mathematics,4.2,66.79,79.05,50.54,62.29,87.83,62.9,85.51,70.43,C
19,Engineering,3.1,82.9,50.92,52.59,73.06,50.76,84.3,81.04,62.62,F
21,Business,3.7,74.04,71.24,34.3,84.66,79.46,68.8,51.18,63.0,F
19,CS,5.0,90.85,70.54,59.29,65.51,82.38,66.7,82.47,71.5,C
18,Mathematics,5.0,90.24,70.29,53.6,75.09,72.42,65.6,86.86,70.01,C
21,Engineering,3.3,87.46,89.93,77.47,69.39,62.67,94.6,72.44,79.39,A
19,Business,3.4,85.29,43.83,57.03,100.0,87.97,89.0,88.44,73.51,B
21,Business,3.4,81.71,86.85,62.83,60.3,92.47,68.7,85.38,76.24,B
19,Business,1.7,63.11,34.63,57.5,87.72,81.87,86.1,53.49,64.42,D
21,Mathematics,4.2,84.57,68.51,57.16,49.45,70.23,84.4,79.97,67.34,D
19,Mathematics,0.5,93.98,77.23,63.32,71.03,79.62,94.9,99.89,76.77,B
24,Engineering,5.0,83.34,69.15,68.18,77.32,68.79,90.0,58.12,73.51,B
18,Engineering,3.6,60.12,64.4,67.68,82.51,51.03,88.5,93.19,73.18,B
20,Mathematics,4.8,91.55,79.34,48.25,61.32,72.28,71.8,79.79,67.94,D
24,Business,5.2,90.14,70.01,74.15,43.0,72.08,61.9,89.56,71.26,C
20,Mathematics,2.8,56.68,55.35,77.13,96.48,68.81,89.6,75.69,76.93,B
23,Mathematics,1.6,93.84,65.33,51.24,68.67,44.13,78.5,59.52,59.96,F
19,Mathematics,4.9,74.54,70.55,59.61,75.43,84.2,60.1,98.55,74.25,B
19,CS,0.9,61.92,71.65,52.4,79.89,65.42,100.0,72.95,69.59,C
24,Business,2.7,100.0,40.38,81.48,69.38,75.43,86.2,91.02,73.31,B
21,CS,3.4,67.37,75.01,78.09,66.78,98.16,46.2,58.52,75.34,B
19,Engineering,2.5,71.21,46.38,50.59,63.5,71.66,100.0,65.57,62.53,F
19,Engineering,4.9,91.3,74.99,73.47,88.41,83.28,67.9,78.65,79.9,A
19,Engineering,6.2,98.51,48.38,79.21,100.0,73.31,66.4,62.07,75.38,B
19,Engineering,3.8,57.97,60.33,64.72,66.46,78.88,67.0,67.3,68.61,C
19,CS,4.2,62.66,75.31,70.86,45.66,89.97,53.4,83.35,72.44,C
21,CS,4.7,94.74,40.29,50.23,75.19,65.6,82.5,75.57,62.4,F
21,CS,1.7,82.86,46.01,65.85,59.32,46.58,90.9,89.29,63.71,D
23,Mathematics,4.5,86.18,56.84,54.62,96.64,42.97,86.1,74.87,67.04,D
24,Engineering,5.6,100.0,76.78,56.23,90.61,65.07,41.6,88.99,71.44,C
23,Mathematics,7.0,78.45,73.55,63.86,87.29,72.88,53.4,74.89,74.22,B
23,Engineering,4.8,86.72,67.63,54.95,75.86,83.13,84.0,66.51,71.31,C
22,Business,2.3,60.63,56.83,33.76,81.89,65.48,71.3,77.3,59.61,F
24,Engineering,0.9,73.56,83.09,71.12,73.84,53.99,54.1,69.3,69.92,C
23,CS,3.8,63.06,50.34,68.13,85.86,76.98,40.1,69.4,67.78,D
19,CS,6.4,63.34,76.41,60.21,96.45,97.13,62.0,73.35,79.12,A
19,Business,3.1,82.43,60.57,90.83,83.41,55.28,93.1,52.6,76.29,B
23,Engineering,2.9,75.41,68.45,53.89,93.1,72.27,47.3,66.63,67.51,D
21,CS,4.8,76.67,58.77,94.12,66.18,64.32,69.9,76.98,76.65,B
19,Engineering,0.7,75.99,41.23,55.93,68.45,64.34,30.3,72.79,55.6,F
22,Engineering,2.5,82.95,86.69,58.69,87.1,88.4,78.5,77.9,78.16,A
21,Mathematics,2.2,86.74,68.23,56.18,40.92,45.04,100.0,61.99,60.69,F
24,CS,2.5,87.24,72.69,61.66,72.28,72.38,61.8,82.03,70.37,C
24,CS,4.1,90.57,82.27,49.06,46.99,76.59,69.5,47.24,63.43,D
24,Mathematics,3.0,69.99,59.82,54.85,45.22,98.52,76.7,97.79,68.93,C
22,Business,5.5,62.36,51.26,40.67,66.75,73.71,26.5,67.78,55.7,F
18,Mathematics,5.2,75.65,59.31,59.07,47.56,68.19,88.3,64.22,64.8,D
19,Business,6.3,71.09,77.08,87.03,70.95,65.54,41.6,55.39,74.85,B
19,Engineering,6.7,100.0,71.49,50.01,56.17,52.86,56.1,76.62,62.28,F
19,Mathematics,4.1,69.51,51.47,90.87,88.92,54.41,79.6,90.86,78.15,A
22,Engineering,1.3,91.99,100.0,72.04,74.33,59.69,73.3,70.7,76.77,B
18,CS,1.4,62.79,49.28,85.98,74.6,60.62,59.7,67.17,69.32,C
21,CS,2.5,86.1,57.87,74.42,66.97,86.01,62.5,51.22,69.47,C
23,Business,3.4,71.01,65.58,55.11,69.64,74.59,69.6,84.64,68.41,D
23,CS,4.3,78.61,73.4,62.79,84.85,73.62,74.9,78.43,74.77,B
19,CS,6.5,83.59,71.93,52.86,67.45,58.74,86.9,75.57,68.67,C
18,CS,6.3,78.49,65.04,57.65,70.3,71.32,70.2,62.92,68.01,D
21,Business,6.3,68.92,46.95,85.26,74.26,62.92,71.0,91.88,74.98,B
20,Business,6.8,100.0,54.62,43.4,75.57,49.26,48.5,59.36,56.85,F
19,Mathematics,5.9,72.78,58.82,59.58,60.06,69.14,82.8,60.44,66.29,D
22,CS,6.5,100.0,67.99,54.98,74.7,80.88,73.8,62.02,70.26,C
22,CS,7.2,89.13,59.23,55.07,85.51,84.32,71.7,60.65,70.68,C
18,CS,4.0,73.07,50.88,71.92,82.9,67.63,66.8,98.89,72.9,B
20,CS,6.0,96.73,82.42,64.7,86.63,74.41,56.5,94.85,78.18,A
19,Engineering,4.7,74.68,73.34,74.94,79.43,68.05,66.1,39.3,72.16,C
18,Mathematics,4.0,75.7,28.63,74.85,58.07,52.33,69.5,72.1,60.9,F
18,CS,6.7,72.1,55.42,61.58,89.41,83.34,59.1,93.55,74.09,B
24,CS,3.4,70.37,78.0,76.14,66.99,51.32,59.6,83.29,72.18,C
24,Engineering,3.7,79.9,82.72,58.39,62.94,87.19,62.3,85.92,73.25,B
19,CS,6.0,71.56,53.5,66.75,89.23,39.57,83.9,72.94,68.73,C
24,Engineering,5.3,75.24,58.26,42.34,100.0,73.62,56.8,64.55,65.18,D
19,CS,6.7,86.38,75.76,60.31,73.77,80.07,60.7,58.63,71.6,C
22,Business,5.7,75.38,82.6,60.99,75.72,57.99,58.0,90.88,72.61,C
24,CS,4.0,86.53,58.51,41.73,81.16,62.98,28.8,72.15,57.94,F
20,Engineering,3.5,88.76,68.68,55.32,55.54,55.3,66.7,86.89,64.07,D
18,Engineering,2.4,83.93,49.93,61.86,59.33,75.85,51.8,69.54,62.16,F
23,Business,2.6,98.62,78.15,68.28,95.41,81.37,25.1,58.45,72.29,C
23,Mathematics,7.0,80.17,88.61,70.27,52.53,39.64,63.5,67.56,69.23,C
18,CS,8.2,97.59,86.63,33.21,64.8,65.27,70.4,67.8,64.72,D
21,CS,5.6,59.23,77.17,73.02,78.18,91.61,43.4,80.95,78.04,A
23,Engineering,3.4,66.85,39.47,70.86,85.28,93.47,73.2,64.79,71.46,C
18,Engineering,4.7,89.63,54.54,42.15,54.43,34.23,90.2,65.55,54.78,F
18,Engineering,4.4,73.23,53.52,37.05,61.6,66.02,91.1,78.77,60.15,F
23,Business,5.2,98.1,69.52,69.14,92.93,73.57,42.2,54.5,71.89,C
21,Mathematics,6.9,63.5,49.35,78.63,56.9,79.67,55.8,77.31,70.71,C
24,CS,4.5,73.82,77.77,61.16,54.15,44.37,66.3,89.85,66.54,D
22,Engineering,4.7,87.54,54.31,64.25,79.78,58.46,86.8,69.82,68.88,C
20,Engineering,5.7,90.8,62.2,70.96,100.0,88.28,94.6,76.09,81.89,A
23,Mathematics,4.8,79.8,66.66,39.98,62.71,77.55,72.0,46.72,60.64,F
21,Business,5.0,77.94,70.44,45.17,68.21,69.57,74.4,50.45,63.29,F
24,Engineering,4.9,94.32,40.92,62.33,66.87,59.23,59.0,81.33,62.28,F
23,CS,7.0,85.74,71.64,64.08,81.84,74.64,97.9,61.8,76.49,B
22,Engineering,4.7,81.99,78.59,75.58,66.53,66.85,90.8,69.2,76.75,B
22,Business,2.5,75.8,87.32,71.99,66.39,51.93,43.7,64.86,68.91,C
21,CS,5.2,84.14,51.74,57.0,93.62,41.91,67.8,79.79,65.14,D
20,Engineering,4.0,57.3,59.45,59.58,59.21,62.34,85.4,62.0,64.74,D
20,CS,6.9,67.2,87.41,39.32,65.29,63.21,82.7,92.2,69.49,C
20,Business,3.1,98.39,45.13,73.22,73.77,71.75,83.2,65.22,69.21,C
18,CS,4.9,62.86,40.8,56.73,56.67,78.79,27.6,89.25,59.63,F
19,Mathematics,4.4,94.26,62.85,82.41,60.62,77.38,62.9,38.15,70.3,C
20,Business,5.3,83.31,55.5,77.76,74.38,61.11,63.8,72.24,71.01,C
20,Business,8.2,76.16,29.55,74.33,68.57,63.48,53.2,92.2,66.66,D
24,CS,4.7,59.74,72.9,84.2,75.95,56.55,67.4,92.4,78.04,A
24,CS,7.0,88.88,66.63,72.25,90.49,63.75,79.6,86.82,78.28,A
24,CS,5.2,82.69,65.79,54.87,61.18,68.69,82.3,88.23,68.75,C
21,Mathematics,1.7,66.44,61.47,88.32,70.06,55.74,80.8,82.35,74.82,B
20,Engineering,6.4,55.16,73.87,85.19,56.19,36.8,97.1,72.93,74.48,B
22,Business,2.2,84.54,69.04,54.16,100.0,76.94,46.8,66.34,69.01,C
23,CS,7.7,97.59,70.89,71.56,86.9,57.37,73.0,87.86,77.22,A
22,Business,4.3,83.03,82.82,48.6,88.95,66.17,92.7,93.11,75.14,B
19,Business,4.7,55.76,73.17,56.86,66.58,72.12,68.4,71.59,68.85,C
23,CS,6.4,74.36,65.97,77.8,56.98,63.4,93.8,55.12,72.68,C
24,Business,6.5,82.37,63.97,74.86,57.0,45.86,98.2,75.92,71.34,C
20,Engineering,2.2,70.48,65.81,59.63,72.22,77.04,79.6,57.55,68.26,D
24,Engineering,6.1,81.0,61.98,56.65,69.45,64.96,74.9,58.34,65.93,D
20,Business,3.6,58.32,60.88,52.87,77.96,52.11,79.4,43.54,61.64,F
19,Business,4.5,91.71,76.62,74.82,59.95,75.36,75.6,72.66,75.14,B
22,CS,2.1,83.16,77.6,80.33,51.28,49.86,84.6,68.53,71.15,C
21,CS,6.9,93.14,76.22,55.81,64.93,90.68,61.9,83.58,73.33,B
24,Business,4.9,74.66,68.18,79.76,84.22,69.39,74.9,66.74,77.22,A
23,Mathematics,4.8,54.82,90.26,65.7,78.37,53.04,82.3,80.59,76.16,B
21,Business,5.1,79.66,60.07,56.3,83.31,79.12,64.5,70.18,69.29,C
21,CS,5.0,78.84,87.75,30.04,81.39,54.26,86.9,85.17,66.62,D
21,Mathematics,4.0,71.5,44.02,70.8,86.2,89.39,67.0,97.77,74.86,B
20,CS,1.8,62.84,92.99,30.91,85.55,68.98,100.0,77.87,69.74,C
21,Engineering,1.2,66.07,63.22,56.08,87.35,71.61,36.9,93.94,67.0,D
18,CS,3.5,99.52,69.44,65.01,96.6,60.6,96.8,70.77,75.48,B
20,CS,6.2,81.18,53.19,34.88,81.83,79.42,48.6,69.06,60.16,F
23,Mathematics,4.1,69.99,75.34,60.98,96.39,67.97,55.6,79.98,73.62,B
22,CS,4.3,68.32,46.36,94.65,97.35,49.71,63.8,79.98,76.25,B
21,CS,3.0,100.0,65.25,77.52,68.77,69.57,57.1,87.74,73.04,B
19,Engineering,4.1,71.16,61.49,71.06,89.53,71.74,56.5,67.64,72.27,C
20,Business,3.9,70.27,87.99,70.73,79.66,69.56,65.8,77.05,77.44,A
23,Engineering,3.9,68.36,66.49,67.32,79.54,84.04,100.0,77.5,77.73,A
18,Business,6.9,67.17,63.93,98.36,79.63,55.12,74.1,73.09,80.68,A
23,Business,5.6,71.21,100.0,56.46,64.32,72.87,83.6,64.86,75.16,B
23,Mathematics,0.9,94.75,42.62,63.43,69.79,65.47,90.4,65.26,63.86,D
20,Engineering,4.0,68.77,61.47,68.1,67.84,72.32,64.7,75.25,69.74,C
20,Engineering,2.6,87.57,75.93,54.49,65.32,92.27,54.7,83.79,70.32,C
18,Engineering,4.9,49.72,60.72,83.88,65.82,52.98,37.8,85.87,69.95,C
21,CS,5.9,79.52,55.87,52.86,77.91,83.75,63.6,75.61,68.15,D
21,CS,5.1,64.07,69.69,78.42,80.91,79.18,73.6,75.17,78.9,A
22,Engineering,4.1,81.4,71.26,76.29,71.5,77.66,63.9,74.96,75.45,B
19,Business,4.0,78.22,68.9,52.87,70.8,64.58,50.7,93.01,66.32,D
21,Mathematics,1.0,76.01,60.33,54.61,79.6,65.98,64.8,59.81,63.25,F
20,Business,5.1,66.4,59.79,79.01,66.08,76.1,79.3,59.16,73.38,B
23,Mathematics,2.6,77.92,85.85,31.32,87.51,85.53,77.1,85.62,70.09,C
20,Mathematics,7.1,69.7,64.24,34.44,43.64,81.2,84.3,60.71,59.96,F
20,Engineering,2.9,84.83,62.65,53.57,81.48,86.14,68.2,72.35,69.25,C
18,Business,5.5,92.33,57.06,66.94,83.4,58.68,70.6,77.26,70.34,C
23,Mathematics,4.0,99.07,76.32,49.88,84.69,53.24,75.9,89.41,69.45,C
21,CS,6.3,86.13,88.76,37.02,72.55,85.28,91.9,66.42,71.51,C
24,CS,2.4,100.0,81.24,77.44,86.95,83.37,52.3,100.0,81.46,A
19,Business,4.1,70.35,86.58,64.7,87.68,85.74,64.0,100.0,81.19,A
23,CS,5.4,100.0,77.14,60.43,74.84,99.94,79.1,85.27,78.91,A
19,Mathematics,3.9,87.97,73.21,75.1,71.42,72.36,80.6,63.16,75.06,B
20,Mathematics,4.6,91.86,68.85,52.23,76.8,42.63,78.6,63.59,63.87,D
22,Mathematics,2.6,82.94,51.86,88.02,56.97,83.29,85.3,87.77,76.42,B
24,CS,6.4,76.34,51.82,68.68,70.44,54.37,72.5,74.99,67.64,D
18,Engineering,5.3,78.78,83.55,69.31,60.46,90.46,80.1,60.64,76.87,B
19,CS,3.7,68.43,66.95,63.25,78.16,78.53,100.0,79.38,75.66,B
19,CS,4.8,66.31,71.38,37.16,57.69,80.52,54.6,66.46,60.66,F
23,CS,9.6,95.8,59.23,88.66,65.0,99.56,75.1,89.56,84.39,A
24,Mathematics,5.0,79.96,84.48,91.36,68.19,59.4,73.2,81.25,81.39,A
24,CS,4.2,69.29,79.47,68.41,81.15,47.12,54.8,98.24,73.06,B
23,Business,4.6,80.89,62.65,69.61,55.57,69.15,70.6,69.12,68.39,D
20,CS,4.1,89.08,74.09,50.58,63.36,62.07,76.4,47.7,63.27,F
19,Business,2.8,68.55,78.31,33.76,66.83,70.08,44.8,77.6,59.97,F
21,Engineering,6.9,84.33,70.01,58.5,78.34,47.71,66.1,72.31,67.75,D
23,Engineering,2.7,71.76,77.83,64.37,65.83,93.36,84.2,53.34,73.86,B
21,Business,2.7,82.72,70.77,56.2,76.05,67.7,84.5,89.71,71.35,C
21,Mathematics,3.7,69.85,74.39,56.29,68.55,64.09,75.0,56.06,66.62,D
22,Engineering,6.1,76.58,81.19,77.0,72.71,70.05,97.2,62.82,79.8,A
23,CS,5.7,72.53,43.15,61.48,77.83,71.28,52.8,87.37,66.31,D
21,Business,4.4,75.52,62.64,53.1,77.52,78.51,33.4,84.34,65.84,D
19,Business,3.3,94.84,62.12,53.35,50.43,63.89,67.7,90.02,63.0,F
19,Business,6.2,73.38,60.6,57.3,79.45,78.91,65.5,94.52,72.17,C
18,CS,4.7,79.73,84.13,60.16,85.82,54.33,37.0,65.9,68.54,C
20,CS,1.7,79.11,52.68,56.44,74.64,95.05,67.3,75.18,68.02,D
21,Engineering,2.9,69.31,68.87,43.79,67.12,74.04,64.5,87.56,64.74,D
21,CS,7.6,77.89,77.18,71.95,79.3,76.94,47.3,77.01,76.69,B
19,Business,6.1,79.11,60.91,54.74,71.75,60.16,36.6,72.97,62.4,F
24,Engineering,5.2,71.02,67.7,76.01,72.14,67.38,100.0,91.87,79.06,A
19,Business,5.1,79.05,53.79,62.96,60.63,75.36,72.4,56.2,65.45,D
24,CS,5.3,75.36,56.39,60.68,80.01,60.38,61.5,93.32,68.67,C
18,Engineering,3.5,60.16,71.72,40.38,91.85,89.38,82.4,99.76,73.61,B
24,CS,4.9,91.71,61.35,71.39,76.45,32.52,64.7,81.94,67.15,D
23,CS,4.6,96.1,52.5,74.54,60.27,66.93,67.3,97.96,70.77,C
20,Mathematics,6.6,94.79,67.44,58.32,76.64,85.2,76.1,66.55,72.82,B
20,Business,3.3,70.28,59.76,67.6,95.25,80.65,57.1,83.89,74.37,B
19,CS,7.4,67.11,44.5,80.3,52.85,76.01,82.7,76.14,71.9,C
18,Mathematics,4.0,75.63,63.68,68.21,89.49,72.62,60.9,89.05,74.51,B
21,Business,3.5,72.13,87.8,61.55,69.46,63.86,34.5,73.76,68.6,C
23,Business,5.2,84.37,77.85,59.12,79.46,90.81,57.6,98.98,77.1,A
24,Engineering,4.3,63.54,84.05,80.16,63.11,65.54,64.9,69.36,75.73,B
21,Mathematics,7.4,76.97,63.48,54.76,82.26,69.56,78.2,57.96,69.21,C
24,Business,6.3,63.33,68.19,66.04,67.69,74.31,80.7,87.99,74.77,B
24,Mathematics,7.7,60.71,67.17,70.27,77.03,50.28,51.3,73.04,69.9,C
18,CS,3.6,66.64,43.96,82.62,93.58,85.47,100.0,77.45,79.98,A
24,CS,4.0,91.03,100.0,49.73,88.24,86.8,96.9,77.16,80.58,A
19,CS,3.0,68.87,64.73,51.23,66.07,77.9,74.0,85.46,67.36,D
20,Business,1.9,72.54,69.3,46.67,86.28,59.92,100.0,58.09,66.55,D
21,Mathematics,6.2,91.67,57.98,70.57,79.5,61.01,94.7,72.37,73.65,B
23,Mathematics,5.3,77.45,54.2,51.72,73.95,74.93,94.6,83.63,69.16,C
19,CS,5.9,81.7,80.84,63.8,78.36,73.66,51.3,70.07,73.2,B
18,Mathematics,2.2,87.39,67.64,94.54,79.1,48.87,63.7,86.36,77.19,A
23,Engineering,3.5,77.73,50.94,54.8,99.85,75.39,100.0,79.18,72.58,C
20,Engineering,0.8,96.19,39.55,47.77,71.78,59.51,40.4,84.32,54.81,F
